Nama Petshop,Alamat,No WA,Mitra,Kota,Google Maps Link,Latitude,Longitude,Distributor,Kurir
AJ Petshop Denpasar,Denpasar,6283119956828,Tidak,Denpasar,https://www.google.com/maps/search/?api=1&query=AJ%20Petshop%20Denpasar%20Denpasar,-8.65,115.2167,Pusat,
AJ Petshop Kaltim,Aj,6285246735679,Tidak,Aj,https://www.google.com/maps/search/?api=1&query=AJ%20Petshop%20Kaltim%20Aj,-6.8361,108.2278,Pusat,
Alam Jaya Petshop Banyuwangi,Banyuwangi,6281235807888,Tidak,Banyuwangi,https://www.google.com/maps/search/?api=1&query=Alam%20Jaya%20Petshop%20Banyuwangi%20Banyuwangi,-8.2174,114.3678,Pusat,
Alana Vet Jakarta,Jakarta,6285218988829,Tidak,Jakarta,https://www.google.com/maps/search/?api=1&query=Alana%20Vet%20Jakarta%20Jakarta,-6.2088,106.8456,Pusat,
Alaska Petshop & Klinik Bekasi,Bekasi,6281285204934,Tidak,Bekasi,https://www.google.com/maps/search/?api=1&query=Alaska%20Petshop%20%26%20Klinik%20Bekasi%20Bekasi,-6.2383,106.9756,Pusat,
Alci Petshop Sambirejo Sragen,Sragen,6282110006081,Tidak,Sragen,https://www.google.com/maps/search/?api=1&query=Alci%20Petshop%20Sambirejo%20Sragen%20Sragen,-7.4267,111.02,Pusat,
Alfarizki Petshop Cianjur,Cianjur,6289610108371,Tidak,Cianjur,https://www.google.com/maps/search/?api=1&query=Alfarizki%20Petshop%20Cianjur%20Cianjur,-6.8203,107.1422,Pusat,
Alim Petshop Surabaya,Surabaya,6283857326111,Tidak,Surabaya,https://www.google.com/maps/search/?api=1&query=Alim%20Petshop%20Surabaya%20Surabaya,-7.2575,112.7521,Pusat,
Alkeisa Petshop Sorong,Sorong,6281248822718,Tidak,Sorong,https://www.google.com/maps/search/?api=1&query=Alkeisa%20Petshop%20Sorong%20Sorong,-0.8833,131.25,Pusat,
All Paw Petshop Wonosobo,Wonosobo,628112919122,Tidak,Wonosobo,https://www.google.com/maps/search/?api=1&query=All%20Paw%20Petshop%20Wonosobo%20Wonosobo,-7.3667,109.9,Pusat,
Alpha Petshop Surabaya,Surabaya,62816263975,Tidak,Surabaya,https://www.google.com/maps/search/?api=1&query=Alpha%20Petshop%20Surabaya%20Surabaya,-7.2575,112.7521,Pusat,
Am Petshop Denpasar Bali,Denpasar,62895397303500,Tidak,Denpasar,https://www.google.com/maps/search/?api=1&query=Am%20Petshop%20Denpasar%20Bali%20Denpasar,-8.65,115.2167,Pusat,
Amang Petshop Tasikmalaya,Tasikmalaya,628995844144,Tidak,Tasikmalaya,https://www.google.com/maps/search/?api=1&query=Amang%20Petshop%20Tasikmalaya%20Tasikmalaya,-7.3274,108.2207,Pusat,
Ambar Petshop,Ambar,6285695142080,Tidak,Ambar,https://www.google.com/maps/search/?api=1&query=Ambar%20Petshop%20Ambar,,,Pusat,
Amelys Petshop Ponorogo,Ponorogo,628113384488,Tidak,Ponorogo,https://www.google.com/maps/search/?api=1&query=Amelys%20Petshop%20Ponorogo%20Ponorogo,-7.8667,111.4667,Pusat,
